Destino,Aeroporto Nacional,Origem
Rondônia,Aeroporto Internacional de Manaus,China
Paraná,Aeroporto Internacional de Curitiba,Ucrânia
Maranhão,Aeroporto Internacional de Fortaleza ,Alemanha
Maranhão,Aeroporto Internacional de Fortaleza ,Alemanha
Maranhão,Aeroporto Internacional de Fortaleza ,China
Distrito Federal,Aeroporto Internacional de Brasília,Taiwan (Formosa)
Goiás,Aeroporto Internacional de Brasília,China
Distrito Federal,Aeroporto Internacional de Brasília,República Tcheca
Distrito Federal,Aeroporto Internacional de Brasília,República Tcheca
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Japão
São Paulo,Aeroporto Internacional de Porto Alegre,China
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Reino Unido
Distrito Federal,Aeroporto Internacional de Brasília,Filipinas
São Paulo,Aeroporto Internacional de Viracopos,"Faroe, Ilhas"
Ceará,Aeroporto Internacional de Fortaleza ,Itália
Ceará,Aeroporto Internacional de Fortaleza ,Itália
Paraná,Aeroporto Internacional de Viracopos,Índia
Bahia,Aeroporto Internacional de Viracopos,Malásia
Santa Catarina,Aeroporto Internacional de Viracopos,Reino Unido
São Paulo,Aeroporto Internacional de Viracopos,Eslováquia
São Paulo,Aeroporto Internacional de Viracopos,Eslováquia
Espírito Santo,Aeroporto Internacional de Guarulhos,Hong Kong
São Paulo,Aeroporto Internacional do Rio de Janeiro,Taiwan (Formosa)
Distrito Federal,Aeroporto Internacional de Viracopos,Reino Unido
Bahia,Aeroporto Internacional de Salvador,Hong Kong
Paraná,Aeroporto Internacional de Curitiba,Irlanda
Paraná,Aeroporto Internacional de Curitiba,Irlanda
São Paulo,Aeroporto Internacional do Rio de Janeiro,China
Paraíba,Aeroporto Internacional de Salvador,Espanha
Paraíba,Aeroporto Internacional de Salvador,Espanha
Rio Grande do Norte,Aeroporto Internacional de Natal,Espanha
Rio Grande do Norte,Aeroporto Internacional de Natal,Espanha
São Paulo,Aeroporto Internacional de Viracopos,Laos
Rio Grande do Norte,Aeroporto Internacional de Natal,Áustria
Rio Grande do Norte,Aeroporto Internacional de Natal,Áustria
Santa Catarina,Aeroporto Internacional de Viracopos,Suíça
Goiás,Aeroporto Internacional de Viracopos,Singapura
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Itália
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Itália
Bahia,Aeroporto Internacional de Belo Horizonte,China
São Paulo,Aeroporto Internacional do Rio de Janeiro,Reino Unido
Minas Gerais,Aeroporto Internacional de Guarulhos,Suécia
Minas Gerais,Aeroporto Internacional de Guarulhos,Suécia
Bahia,Aeroporto Internacional de Salvador,Dinamarca
Bahia,Aeroporto Internacional de Salvador,Dinamarca
Pará,Aeroporto Internacional de Fortaleza ,França
Pará,Aeroporto Internacional de Fortaleza ,França
Bahia,Aeroporto Internacional de Salvador,China
São Paulo,Aeroporto Internacional de Guarulhos,Alemanha
São Paulo,Aeroporto Internacional de Guarulhos,Alemanha
Bahia,Aeroporto Internacional de Salvador,Grécia
Bahia,Aeroporto Internacional de Salvador,Grécia
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Reino Unido
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Finlândia
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Finlândia
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Espanha
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Espanha
Pará,Aeroporto Internacional de Guarulhos,Itália
Pará,Aeroporto Internacional de Guarulhos,Itália
Ceará,Aeroporto Internacional de Fortaleza ,Dinamarca
Ceará,Aeroporto Internacional de Fortaleza ,Dinamarca
Santa Catarina,Aeroporto Internacional de Navegantes,Taiwan (Formosa)
Distrito Federal,Aeroporto Internacional de Belo Horizonte,China
Pernambuco,Aeroporto Internacional do Recife ,China
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Polônia
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Polônia
Minas Gerais,Aeroporto Internacional de Viracopos,Hungria
Minas Gerais,Aeroporto Internacional de Viracopos,Hungria
Santa Catarina,Aeroporto Internacional de Viracopos,República Tcheca
Santa Catarina,Aeroporto Internacional de Viracopos,República Tcheca
Bahia,Aeroporto Internacional de Salvador,Países Baixos (Holanda)
Bahia,Aeroporto Internacional de Salvador,Países Baixos (Holanda)
Goiás,Aeroporto Internacional de Brasília,Alemanha
Goiás,Aeroporto Internacional de Brasília,Alemanha
São Paulo,Aeroporto Internacional de Curitiba,Hungria
São Paulo,Aeroporto Internacional de Curitiba,Hungria
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Bahia,Aeroporto Internacional de Viracopos,Alemanha
Bahia,Aeroporto Internacional de Viracopos,Alemanha
Paraíba,Aeroporto Internacional do Recife ,Coreia do Sul
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Singapura
São Paulo,Aeroporto Internacional de Belo Horizonte,China
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Bélgica
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Bélgica
Pará,Aeroporto Internacional de Viracopos,Itália
Pará,Aeroporto Internacional de Viracopos,Itália
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Romênia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Romênia
Minas Gerais,Aeroporto Internacional de Guarulhos,Malásia
São Paulo,Aeroporto Internacional de Guarulhos,Luxemburgo
São Paulo,Aeroporto Internacional de Guarulhos,Luxemburgo
Paraná,Aeroporto Internacional de Curitiba,Espanha
Paraná,Aeroporto Internacional de Curitiba,Espanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,República Tcheca
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,República Tcheca
Amazonas,Aeroporto Internacional de Manaus,Países Baixos (Holanda)
Amazonas,Aeroporto Internacional de Manaus,Países Baixos (Holanda)
Espírito Santo,Aeroporto Santos Dumont,Taiwan (Formosa)
Amazonas,Aeroporto Internacional de Manaus,Dinamarca
Amazonas,Aeroporto Internacional de Manaus,Dinamarca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,República Tcheca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,República Tcheca
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Vietnã
Paraná,Aeroporto Internacional de Viracopos,Suíça
Santa Catarina,Aeroporto Internacional de Guarulhos,Espanha
Santa Catarina,Aeroporto Internacional de Guarulhos,Espanha
Pará,Aeroporto Internacional de Guarulhos,Hong Kong
Distrito Federal,Aeroporto Internacional de Brasília,Irlanda
Distrito Federal,Aeroporto Internacional de Brasília,Irlanda
São Paulo,Aeroporto Internacional de São José dos Campos,China
Distrito Federal,Aeroporto Internacional de Brasília,Singapura
Distrito Federal,Aeroporto Internacional de Brasília,Malásia
Santa Catarina,Aeroporto Internacional do Rio de Janeiro,China
Distrito Federal,Aeroporto Internacional de Brasília,Índia
São Paulo,Aeroporto Internacional de Curitiba,Finlândia
São Paulo,Aeroporto Internacional de Curitiba,Finlândia
Espírito Santo,Aeroporto Internacional de Vitória,Indonésia
Rondônia,Aeroporto Internacional de Brasília,Polônia
Rondônia,Aeroporto Internacional de Brasília,Polônia
Goiás,Aeroporto Internacional de Brasília,Singapura
Pernambuco,Aeroporto Internacional do Recife ,Hong Kong
Santa Catarina,Aeroporto Internacional de Navegantes,Países Baixos (Holanda)
Santa Catarina,Aeroporto Internacional de Navegantes,Países Baixos (Holanda)
Bahia,Aeroporto Internacional de Salvador,Itália
Bahia,Aeroporto Internacional de Salvador,Itália
Pernambuco,Aeroporto Internacional do Recife ,Japão
Goiás,Aeroporto Internacional de Brasília,Reino Unido
Goiás,Aeroporto Internacional de Brasília,Polônia
Goiás,Aeroporto Internacional de Brasília,Polônia
Espírito Santo,Aeroporto Internacional de Vitória,Alemanha
Espírito Santo,Aeroporto Internacional de Vitória,Alemanha
Minas Gerais,Aeroporto Internacional de Viracopos,Finlândia
Minas Gerais,Aeroporto Internacional de Viracopos,Finlândia
Santa Catarina,Aeroporto Internacional de Guarulhos,Noruega
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Portugal
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Portugal
Pernambuco,Aeroporto Internacional do Recife ,Noruega
Espírito Santo,Aeroporto Internacional de Vitória,Reino Unido
Pernambuco,Aeroporto Internacional do Recife ,Coreia do Sul
Bahia,Aeroporto Internacional de Salvador,Hungria
Bahia,Aeroporto Internacional de Salvador,Hungria
Distrito Federal,Aeroporto Internacional de Brasília,Países Baixos (Holanda)
Distrito Federal,Aeroporto Internacional de Brasília,Países Baixos (Holanda)
Pernambuco,Aeroporto Internacional do Recife ,Suécia
Pernambuco,Aeroporto Internacional do Recife ,Suécia
Bahia,Aeroporto Internacional do Recife ,Dinamarca
Bahia,Aeroporto Internacional do Recife ,Dinamarca
Pará,Aeroporto Internacional de Viracopos,China
Ceará,Aeroporto Internacional de Fortaleza ,Japão
Santa Catarina,Aeroporto Internacional de Guarulhos,Singapura
Amazonas,Aeroporto Internacional de Manaus,Tailândia
Santa Catarina,Aeroporto Internacional de Florianópolis,Espanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Espanha
Rio de Janeiro,Aeroporto Internacional de Viracopos,Polônia
Rio de Janeiro,Aeroporto Internacional de Viracopos,Polônia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Índia
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Coreia do Sul
Rio de Janeiro,Aeroporto Internacional do Recife ,China
Mato Grosso do Sul,Aeroporto Internacional de Viracopos,Itália
Mato Grosso do Sul,Aeroporto Internacional de Viracopos,Itália
Goiás,Aeroporto Internacional de Guarulhos,Itália
Goiás,Aeroporto Internacional de Guarulhos,Itália
Bahia,Aeroporto Internacional de Guarulhos,Itália
Bahia,Aeroporto Internacional de Guarulhos,Itália
Santa Catarina,Aeroporto Internacional de Navegantes,Alemanha
Santa Catarina,Aeroporto Internacional de Navegantes,Alemanha
Mato Grosso do Sul,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Hong Kong
Santa Catarina,Aeroporto Internacional de Porto Alegre,Itália
Santa Catarina,Aeroporto Internacional de Porto Alegre,Itália
Amapá,Aeroporto Internacional de Viracopos,China
Espírito Santo,Aeroporto Internacional de Vitória,Japão
Santa Catarina,Aeroporto Internacional de Curitiba,China
Pernambuco,Aeroporto Internacional do Recife ,Espanha
Pernambuco,Aeroporto Internacional do Recife ,Espanha
São Paulo,Aeroporto Internacional de Viracopos,Portugal
São Paulo,Aeroporto Internacional de Viracopos,Portugal
Distrito Federal,Aeroporto Internacional de Guarulhos,Hungria
Distrito Federal,Aeroporto Internacional de Guarulhos,Hungria
Goiás,Aeroporto Internacional de Guarulhos,Polônia
Goiás,Aeroporto Internacional de Guarulhos,Polônia
Pará,Aeroporto Internacional de Belém,China
Pernambuco,Aeroporto Internacional do Recife ,República Tcheca
Pernambuco,Aeroporto Internacional do Recife ,República Tcheca
Bahia,Aeroporto Internacional de Salvador,Taiwan (Formosa)
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Tailândia
Paraná,Aeroporto Internacional de Curitiba,Coreia do Sul
Rio Grande do Norte,Aeroporto Internacional de Natal,Países Baixos (Holanda)
Rio Grande do Norte,Aeroporto Internacional de Natal,Países Baixos (Holanda)
Distrito Federal,Aeroporto Internacional de Brasília,Japão
Alagoas,Aeroporto Internacional de Guarulhos,Hong Kong
Pará,Aeroporto Internacional de Belém,Itália
Pará,Aeroporto Internacional de Belém,Itália
Alagoas,Aeroporto Internacional de Salvador,China
Minas Gerais,Aeroporto Internacional de Guarulhos,Vietnã
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,China
Bahia,Aeroporto Internacional de Salvador,Hong Kong
Paraná,Aeroporto Internacional de Curitiba,China
Paraná,Aeroporto Internacional de Curitiba,Países Baixos (Holanda)
Paraná,Aeroporto Internacional de Curitiba,Países Baixos (Holanda)
Paraná,Aeroporto Internacional de Curitiba,França
Paraná,Aeroporto Internacional de Curitiba,França
Pernambuco,Aeroporto Internacional do Recife ,China
Minas Gerais,Aeroporto Internacional de Belo Horizonte,França
Minas Gerais,Aeroporto Internacional de Belo Horizonte,França
Paraná,Aeroporto Internacional de Curitiba,Hong Kong
Pernambuco,Aeroporto Internacional do Recife ,Alemanha
Pernambuco,Aeroporto Internacional do Recife ,Alemanha
Paraná,Aeroporto Internacional de Curitiba,Polônia
Paraná,Aeroporto Internacional de Curitiba,Polônia
Paraná,Aeroporto Internacional de Curitiba,Taiwan (Formosa)
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Bahia,Aeroporto Internacional de Salvador,Espanha
Bahia,Aeroporto Internacional de Salvador,Espanha
Ceará,Aeroporto Internacional de Fortaleza ,Polônia
Ceará,Aeroporto Internacional de Fortaleza ,Polônia
Rondônia,Aeroporto Internacional do Rio de Janeiro,China
Paraná,Aeroporto Internacional de Curitiba,Reino Unido
Paraná,Aeroporto Internacional de Curitiba,Itália
Paraná,Aeroporto Internacional de Curitiba,Itália
Minas Gerais,Aeroporto Internacional de Belo Horizonte,República Tcheca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,República Tcheca
Paraná,Aeroporto Internacional de Curitiba,Hungria
Paraná,Aeroporto Internacional de Curitiba,Hungria
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Japão
Paraná,Aeroporto Internacional de Curitiba,Dinamarca
Paraná,Aeroporto Internacional de Curitiba,Dinamarca
Santa Catarina,Aeroporto Internacional de Guarulhos,França
Santa Catarina,Aeroporto Internacional de Guarulhos,França
São Paulo,Aeroporto Internacional de Guarulhos,Cazaquistão
Amazonas,Aeroporto Internacional de Manaus,Bélgica
Amazonas,Aeroporto Internacional de Manaus,Bélgica
Espírito Santo,Aeroporto Internacional de Viracopos,Espanha
Espírito Santo,Aeroporto Internacional de Viracopos,Espanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Itália
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Itália
Santa Catarina,Aeroporto Internacional de Curitiba,Japão
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Polônia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Polônia
Bahia,Aeroporto Internacional de Salvador,Dinamarca
Bahia,Aeroporto Internacional de Salvador,Dinamarca
Goiás,Aeroporto Internacional de Guarulhos,Irlanda
Goiás,Aeroporto Internacional de Guarulhos,Irlanda
Ceará,Aeroporto Internacional de Fortaleza ,Alemanha
Ceará,Aeroporto Internacional de Fortaleza ,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Taiwan (Formosa)
Bahia,Aeroporto Internacional de Salvador,Japão
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Noruega
Paraná,Aeroporto Internacional de Guarulhos,Polônia
Paraná,Aeroporto Internacional de Guarulhos,Polônia
Paraná,Aeroporto Internacional de Curitiba,República Tcheca
Paraná,Aeroporto Internacional de Curitiba,República Tcheca
Bahia,Aeroporto Internacional de Salvador,Taiwan (Formosa)
Pernambuco,Aeroporto Internacional do Recife ,França
Pernambuco,Aeroporto Internacional do Recife ,França
Bahia,Aeroporto Internacional de Salvador,Itália
Bahia,Aeroporto Internacional de Salvador,Itália
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Alemanha
Santa Catarina,Aeroporto Internacional de Navegantes,Polônia
Santa Catarina,Aeroporto Internacional de Navegantes,Polônia
Rio Grande do Norte,Aeroporto Internacional de Fortaleza ,Dinamarca
Rio Grande do Norte,Aeroporto Internacional de Fortaleza ,Dinamarca
Piauí,Aeroporto Internacional de Salvador,Espanha
Piauí,Aeroporto Internacional de Salvador,Espanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Itália
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Itália
Pernambuco,Aeroporto Internacional do Recife ,Japão
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Polônia
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Polônia
Bahia,Aeroporto Internacional de Salvador,China
Pará,Aeroporto Internacional de Belém,Alemanha
Pará,Aeroporto Internacional de Belém,Alemanha
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Polônia
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Polônia
Paraíba,Aeroporto Internacional do Recife ,China
Pará,Aeroporto Internacional de Viracopos,Alemanha
Pará,Aeroporto Internacional de Viracopos,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Tailândia
Ceará,Aeroporto Internacional de Fortaleza ,Espanha
Ceará,Aeroporto Internacional de Fortaleza ,Espanha
Santa Catarina,Aeroporto Internacional de Viracopos,Irlanda
Santa Catarina,Aeroporto Internacional de Viracopos,Irlanda
São Paulo,Aeroporto Internacional de Guarulhos,Islândia
Pernambuco,Aeroporto Internacional do Recife ,Itália
Pernambuco,Aeroporto Internacional do Recife ,Itália
Ceará,Aeroporto Internacional de Guarulhos,China
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,China
Paraíba,Aeroporto Internacional de Viracopos,Taiwan (Formosa)
São Paulo,Aeroporto Internacional de Belo Horizonte,Reino Unido
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Hungria
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Hungria
Espírito Santo,Aeroporto Internacional de Vitória,Índia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Dinamarca
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Dinamarca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Dinamarca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Dinamarca
Santa Catarina,Aeroporto Internacional de Viracopos,Romênia
Santa Catarina,Aeroporto Internacional de Viracopos,Romênia
Maranhão,Aeroporto Internacional de São Luís,Taiwan (Formosa)
Pará,Aeroporto Internacional de Belém,Taiwan (Formosa)
Rio Grande do Norte,Aeroporto Internacional de Fortaleza ,Alemanha
Rio Grande do Norte,Aeroporto Internacional de Fortaleza ,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Suíça
Pará,Aeroporto Internacional de Fortaleza ,Áustria
Pará,Aeroporto Internacional de Fortaleza ,Áustria
Amazonas,Aeroporto Internacional de Manaus,Suíça
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Áustria
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Áustria
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Singapura
Pará,Aeroporto Internacional de Belém,Japão
Pernambuco,Aeroporto Internacional do Recife ,Taiwan (Formosa)
Bahia,Aeroporto Internacional de Guarulhos,Noruega
Bahia,Aeroporto Internacional de Salvador,Hungria
Bahia,Aeroporto Internacional de Salvador,Hungria
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,República Tcheca
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,República Tcheca
Paraíba,Aeroporto Internacional de Guarulhos,Reino Unido
Rio Grande do Sul,Aeroporto Internacional de Viracopos,República Tcheca
Rio Grande do Sul,Aeroporto Internacional de Viracopos,República Tcheca
Rio Grande do Norte,Aeroporto Internacional de Viracopos,Dinamarca
Rio Grande do Norte,Aeroporto Internacional de Viracopos,Dinamarca
Pará,Aeroporto Internacional do Rio de Janeiro,República Tcheca
Pará,Aeroporto Internacional do Rio de Janeiro,República Tcheca
Ceará,Aeroporto Internacional de Fortaleza ,Itália
Ceará,Aeroporto Internacional de Fortaleza ,Itália
Paraná,Aeroporto Internacional de Curitiba,Turquia
Goiás,Aeroporto Internacional de Viracopos,Coreia do Sul
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Romênia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Romênia
Santa Catarina,Aeroporto Internacional de Florianópolis,Taiwan (Formosa)
Paraná,Aeroporto Internacional de Viracopos,Hong Kong
Paraná,Aeroporto Internacional de Curitiba,Malásia
Paraná,Aeroporto Internacional de Curitiba,Suíça
São Paulo,Aeroporto Internacional de Curitiba,China
Rio de Janeiro,Aeroporto Internacional de Viracopos,Japão
Sergipe,Aeroporto Internacional do Rio de Janeiro,Tailândia
Bahia,Aeroporto Internacional de Salvador,Áustria
Bahia,Aeroporto Internacional de Salvador,Áustria
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Reino Unido
Piauí,Aeroporto Internacional de Guarulhos,Reino Unido
Santa Catarina,Aeroporto Internacional de Viracopos,França
Santa Catarina,Aeroporto Internacional de Viracopos,França
Mato Grosso do Sul,Aeroporto Internacional de Viracopos,Suécia
Mato Grosso do Sul,Aeroporto Internacional de Viracopos,Suécia
Ceará,Aeroporto Internacional de Fortaleza ,Dinamarca
Ceará,Aeroporto Internacional de Fortaleza ,Dinamarca
Pernambuco,Aeroporto Internacional do Recife ,Malásia
Amazonas,Aeroporto Internacional de Manaus,França
Amazonas,Aeroporto Internacional de Manaus,França
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Polônia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Polônia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Hong Kong
Goiás,Aeroporto Internacional de Belo Horizonte,China
Rio Grande do Norte,Aeroporto Internacional Augusto Severo,Dinamarca
Rio Grande do Norte,Aeroporto Internacional Augusto Severo,Dinamarca
Goiás,Aeroporto Internacional de Brasília,Hong Kong
São Paulo,Aeroporto Internacional de Belo Horizonte,Alemanha
São Paulo,Aeroporto Internacional de Belo Horizonte,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Países Baixos (Holanda)
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Países Baixos (Holanda)
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Finlândia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Finlândia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,França
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,França
Distrito Federal,Aeroporto Internacional de Viracopos,Irlanda
Distrito Federal,Aeroporto Internacional de Viracopos,Irlanda
Espírito Santo,Aeroporto Internacional de Vitória,França
Espírito Santo,Aeroporto Internacional de Vitória,França
Espírito Santo,Aeroporto Internacional de Guarulhos,França
Espírito Santo,Aeroporto Internacional de Guarulhos,França
Paraná,Aeroporto Internacional de Guarulhos,Suécia
Paraná,Aeroporto Internacional de Guarulhos,Suécia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Suécia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Suécia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Suíça
São Paulo,Aeroporto Internacional de Curitiba,Polônia
São Paulo,Aeroporto Internacional de Curitiba,Polônia
Bahia,Aeroporto Internacional de Salvador,Reino Unido
Pernambuco,Aeroporto Internacional de Viracopos,França
Pernambuco,Aeroporto Internacional de Viracopos,França
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Reino Unido
Rondônia,Aeroporto Internacional do Rio de Janeiro,Alemanha
Rondônia,Aeroporto Internacional do Rio de Janeiro,Alemanha
Goiás,Aeroporto Internacional de Brasília,Coreia do Sul
Minas Gerais,Aeroporto Internacional do Recife ,Itália
Minas Gerais,Aeroporto Internacional do Recife ,Itália
São Paulo,Aeroporto Internacional de Guarulhos,China
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Malásia
Bahia,Aeroporto Internacional do Rio de Janeiro,Bélgica
Bahia,Aeroporto Internacional do Rio de Janeiro,Bélgica
Pará,Aeroporto Internacional do Rio de Janeiro,Alemanha
Pará,Aeroporto Internacional do Rio de Janeiro,Alemanha
Pernambuco,Aeroporto Internacional do Recife ,Áustria
Pernambuco,Aeroporto Internacional do Recife ,Áustria
Paraná,Aeroporto Internacional de Curitiba,Áustria
Paraná,Aeroporto Internacional de Curitiba,Áustria
Paraná,Aeroporto Internacional de Curitiba,Luxemburgo
Paraná,Aeroporto Internacional de Curitiba,Luxemburgo
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Reino Unido
São Paulo,Aeroporto Internacional de Curitiba,Tailândia
Amazonas,Aeroporto Internacional de Manaus,Irlanda
Amazonas,Aeroporto Internacional de Manaus,Irlanda
Piauí,Aeroporto Internacional de Guarulhos,Tailândia
Paraná,Aeroporto Internacional Augusto Severo,Polônia
Paraná,Aeroporto Internacional Augusto Severo,Polônia
Paraná,Aeroporto Internacional de Curitiba,Japão
Rio de Janeiro,Aeroporto Santos Dumont,República Tcheca
Rio de Janeiro,Aeroporto Santos Dumont,República Tcheca
Paraná,Aeroporto Internacional de Curitiba,Espanha
Paraná,Aeroporto Internacional de Curitiba,Espanha
Goiás,Aeroporto Internacional de Viracopos,Alemanha
Goiás,Aeroporto Internacional de Viracopos,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Itália
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Itália
Santa Catarina,Aeroporto Internacional de Viracopos,Coreia do Sul
São Paulo,Aeroporto Internacional de Porto Alegre,República Tcheca
São Paulo,Aeroporto Internacional de Porto Alegre,República Tcheca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Malásia
Pernambuco,Aeroporto Internacional do Recife ,Hong Kong
Pernambuco,Aeroporto Internacional do Recife ,República Tcheca
Pernambuco,Aeroporto Internacional do Recife ,República Tcheca
Distrito Federal,Aeroporto Internacional de Brasília,França
Distrito Federal,Aeroporto Internacional de Brasília,França
Goiás,Aeroporto Internacional de Brasília,Portugal
Goiás,Aeroporto Internacional de Brasília,Portugal
Bahia,Aeroporto Internacional de Guarulhos,Hong Kong
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Hungria
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Hungria
Bahia,Aeroporto Internacional de Salvador,Países Baixos (Holanda)
Bahia,Aeroporto Internacional de Salvador,Países Baixos (Holanda)
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Coreia do Sul
Bahia,Aeroporto Internacional do Rio de Janeiro,Alemanha
Bahia,Aeroporto Internacional do Rio de Janeiro,Alemanha
São Paulo,Aeroporto Internacional do Rio de Janeiro,Portugal
São Paulo,Aeroporto Internacional do Rio de Janeiro,Portugal
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Suécia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Suécia
Goiás,Aeroporto Internacional de Brasília,Tailândia
Paraíba,Aeroporto Internacional do Recife ,Itália
Paraíba,Aeroporto Internacional do Recife ,Itália
Ceará,Aeroporto Internacional de Fortaleza ,Reino Unido
Distrito Federal,Aeroporto Internacional de Brasília,Hong Kong
Distrito Federal,Aeroporto Internacional de Brasília,Hungria
Distrito Federal,Aeroporto Internacional de Brasília,Hungria
Rio Grande do Norte,Aeroporto Internacional Augusto Severo,Itália
Rio Grande do Norte,Aeroporto Internacional Augusto Severo,Itália
São Paulo,Aeroporto Internacional do Rio de Janeiro,Bélgica
São Paulo,Aeroporto Internacional do Rio de Janeiro,Bélgica
Amapá,Aeroporto Internacional de Macapá,China
Rondônia,Aeroporto Internacional de Guarulhos,China
Distrito Federal,Aeroporto Internacional de Brasília,Alemanha
Distrito Federal,Aeroporto Internacional de Brasília,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Sérvia
São Paulo,Aeroporto Internacional de Belo Horizonte,Hungria
São Paulo,Aeroporto Internacional de Belo Horizonte,Hungria
